,Code région,Nom de la région,Code département,Code arrondissement départemental,Code canton,Code_commune,Nom de la commune,Population municipale,Population comptée à part,Population totale,Année recensement,Année utilisation,Code INSEE (commune ou arrondissement),Superficie de la commune,Statut,Code INSEE de la commune,Nom de la commune IGN,Nom du département IGN,Nom de la région.1,Code EPCI,Code EPCI.1,EPCI,Année
136,4,La Réunion,974,4,95,413,Saint-Leu,30504,266,30770,1970-01-01 00:00:00.000002009,2012,97413,118.08,Commune,97413,Saint-Leu,LA REUNION,LA REUNION,,,,1970
137,4,La Réunion,974,2,94,412,Saint-Joseph,37069,523,37592,1970-01-01 00:00:00.000002012,2015,97412,177.85,Commune,97412,,,,249740085.0,249740085.0,CA du Sud,1970
138,4,La Réunion,974,4,36,423,Les Trois-Bassins,7339,103,7442,1970-01-01 00:00:00.000002012,2015,97423,42.48,Commune,97423,,,,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
139,4,La Réunion,974,2,4,404,L' Étang-Salé,13530,194,13724,1970-01-01 00:00:00.000002011,2014,97404,38.43,Commune,97404,L'Étang-Salé,LA REUNION,LA REUNION,,,,1970
140,4,La Réunion,974,3,6,402,Bras-Panon,12887,142,13029,1970-01-01 00:00:00.000002014,2017,97402,87.26,Commune,97402,Bras-Panon,LA REUNION,LA REUNION,249740093.0,249740093.0,CA Intercommunale de la Réunion Est (CIREST),1970
141,4,La Réunion,974,2,1,401,Les Avirons,11148,202,11350,1970-01-01 00:00:00.000002015,2018,97401,26.23,Commune,97401,Les Avirons,LA REUNION,LA REUNION,249740077.0,249740077.0,CA Civis (Communauté Intercommunale des Villes Solidaires),1970
142,4,La Réunion,974,1,4,420,Sainte-Suzanne,23224,233,23457,1970-01-01 00:00:00.000002016,2019,97420,57.83,Commune,97420,Sainte-Suzanne,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion (Cinor),1970
143,4,La Réunion,974,4,91,407,Le Port,36952,262,37214,1970-01-01 00:00:00.000002012,2015,97407,16.16,Commune,97407,Le Port,LA REUNION,LA REUNION,249740101.0,249740101.0,CA Territoire de la Côte Ouest,1970
144,4,La Réunion,974,1,93,411,Saint-Denis,145238,1525,146763,1970-01-01 00:00:00.000002012,2015,97411,141.5,Commune,97411,Saint-Denis,LA REUNION,LA REUNION,249740119.0,249740119.0,CA Intercommunale du Nord de la Réunion,1970
145,4,La Réunion,974,2,96,414,Saint-Louis,52614,581,53195,1970-01-01 00:00:00.000002012,2015,97414,98.85,Commune,97414,Saint-Louis,LA REUNION,LA REUNION,249740077.0,249740077.0,CA CIVIS (Communauté Intercommunale des Villes Solidaires),1970
146,4,La Réunion,974,2,99,422,Le Tampon,75631,853,76484,1970-01-01 00:00:00.000002012,2015,97422,181.02,Commune,97422,Le Tampon,LA REUNION,LA REUNION,249740085.0,249740085.0,CA du Sud,1970
147,4,La Réunion,974,4,36,423,Les Trois-Bassins,6929,98,7027,1970-01-01 00:00:00.000002007,2010,97423,42.48,Commune,97423,,,,,,,1970
148,4,La Réunion,974,4,95,413,Saint-Leu,28969,309,29278,1970-01-01 00:00:00.000002006,2009,97413,118.08,Commune,97413,Saint-Leu,LA REUNION,LA REUNION,,,,1970
149,4,La Réunion,974,2,22,424,Cilaos,5623,104,5727,1970-01-01 00:00:00.000002011,2014,97424,84.4,Commune,97424,Cilaos,LA REUNION,LA REUNION,,,,1970
